Rv0001,1,1524,1523,+,45.26,1
,,,,,,,Rv0001,45.26,
Rv0002 - EBG00000313329,2052,10960,8908,+,23.37,7
,,,,,,,Rv0002,36.02,
,,,,,,,Rv0003,13.24,28.95
,,,,,,,Rv0004,9.46,
,,,,,,,Rv0005,36.17,15.66
,,,,,,,Rv0006,24.59,22.29
,,,,,,,Rv0007,13.04,29.35
,,,,,,,EBG00000313329,37.41,14.27
EBG00000313365,11112,11184,72,+,8.54,1
,,,,,,,EBG00000313365,8.54,
Rv0008c,11874,12311,437,-,8.39,1
,,,,,,,Rv0008c,8.39,
Rv0009,12468,13016,548,+,63.65,1
,,,,,,,Rv0009,63.65,
Rv0010c - Rv0011c,13133,13995,862,-,29.33,2
,,,,,,,Rv0010c,24.56,
,,,,,,,Rv0011c,33.89,29.53
Rv0012 - Rv0013,14089,15612,1523,+,13.71,2
,,,,,,,Rv0012,10.12,
,,,,,,,Rv0013,16.76,14.24
Rv0014c - Rv0017c,15590,21640,6050,-,14.23,4
,,,,,,,Rv0014c,12.69,
,,,,,,,Rv0015c,13.95,
,,,,,,,Rv0016c,20.75,
,,,,,,,Rv0017c,9.55,
Rv0018c - Rv0020c,21637,25444,3807,-,34.1,3
,,,,,,,Rv0018c,16.01,
,,,,,,,Rv0019c,28.14,36.24
,,,,,,,Rv0020c,51.25,38.87
EBG00000313373,25644,25726,82,+,13.76,1
,,,,,,,EBG00000313373,13.76,
Rv0021c,25913,26881,968,-,6.37,1
,,,,,,,Rv0021c,6.37,
Rv0022c,27023,27442,419,-,NOT EXPRESSED,1.32
Rv0023 - Rv0031,27595,33794,6199,+,7.65,9
,,,,,,,Rv0023,6.43,
,,,,,,,Rv0024,7.02,
,,,,,,,Rv0025,11.6,6.61
,,,,,,,Rv0026,4.09,9.0
,,,,,,,Rv0027,5.35,3.45
,,,,,,,Rv0028,9.7,8.88
,,,,,,,Rv0029,9.46,12.17
,,,,,,,Rv0030,6.6,3.2
,,,,,,,Rv0031,5.94,12.97
Rv0032,34295,36610,2315,+,NOT EXPRESSED,1.33
Rv0033,36607,36870,263,+,NOT EXPRESSED,1.41
Rv0034,36867,37262,395,+,NOT EXPRESSED,1.69
Rv0035,37259,38947,1688,+,3.05,1
,,,,,,,Rv0035,3.05,
Rv0036c - Rv0037c,39056,41202,2146,-,7.1,2
,,,,,,,Rv0036c,10.84,
,,,,,,,Rv0037c,4.99,5.48
Rv0038,41304,41912,608,+,25.86,1
,,,,,,,Rv0038,25.86,
Rv0039c - Rv0040c,42004,43365,1361,-,16.33,2
,,,,,,,Rv0039c,15.14,
,,,,,,,Rv0040c,23.41,10.44
Rv0041,43562,46471,2909,+,4.0,1
,,,,,,,Rv0041,4.0,
Rv0042c - Rv0045c,46581,49939,3358,-,4.29,4
,,,,,,,Rv0042c,5.27,
,,,,,,,Rv0043c,3.45,1.7
,,,,,,,Rv0044c,3.07,9.92
,,,,,,,Rv0045c,4.63,2.0
Rv0046c,50021,51727,1706,-,24.06,1
,,,,,,,Rv0046c,24.06,
Rv0047c - Rv0048c,51185,52697,1512,-,7.52,2
,,,,,,,Rv0047c,10.0,
,,,,,,,Rv0048c,3.53,9.04
Rv0049 - Rv0051,52831,57378,4547,+,15.23,3
,,,,,,,Rv0049,23.52,
,,,,,,,Rv0050,16.02,16.2
,,,,,,,Rv0051,5.2,
Rv0052 - Rv0060,57410,64967,7557,+,15.17,9
,,,,,,,Rv0052,6.99,
,,,,,,,Rv0053,34.22,20.62
,,,,,,,Rv0054,12.69,10.87
,,,,,,,Rv0055,18.2,13.29
,,,,,,,Rv0056,17.92,9.12
,,,,,,,Rv0057,11.93,9.97
,,,,,,,Rv0058,20.26,
,,,,,,,Rv0059,8.36,20.35
,,,,,,,Rv0060,17.57,10.29
Rv0061c,65012,65350,338,-,24.43,1
