Gene_Pair	Operon_start	Operon_end
Rv0046c-Rv0047c	50020	51727
Rv0676c-Rv0677c	775586	778905
Rv0902c-Rv0903c	1004500	1006562
Rv1138c-Rv1139c	1265472	1266985
Rv1410c-Rv1411c	1586209	1588482
Rv1908c-Rv1909c	2153888	2156592
Rv2430c-Rv2431c	2727335	2728266
Rv2481c-Rv2484c	2786575	2792494
Rv2592c-Rv2594c	2923198	2925383
Rv2686c-Rv2688c	3003279	3005650
Rv2743c-Rv2745c	3056419	3058531
Rv2877c-Rv2878c	3188008	3189397
Rv2958c-Rv2959c	3310713	3312838
Rv3132c-Rv3134c	3497528	3500749
Rv3417c-Rv3423c	3835272	3841420
Rv3612c-Rv3616c	4053517	4056375
Rv3493c-Rv3501c	3910947	3920861
Rv3917c-Rv3919c	4405456	4408897
Rv3921c-Rv3924c	4408968	4410929
